PO Type,zip code,Location,Address,StartH,StartM,EndH,EndM,Impact,Date
planned,9050,GENTBRUGGE,"ALPHONSE DE CLERCQLAAN, JULES DE COCKLAAN, MELLESTRAAT, PETER BENOITLAAN, PETUNIASTRAAT",15,3,15,8,101-500,06-09-2024
sudden,9000,GHENT,BUFFALO STREET,8,4,9,22,<20,06-08-2024
sudden,9040,SINT-AMANDSBERG,DENDERMONDSE STONEWEG,9,15,13,15,21-100,06-08-2024
planned,9000,GHENT,"BUFFALO STREET, HOFSTRAAT",8,4,9,22,<20,06-08-2024
sudden,9040,SINT-AMANDSBERG,DENDERMONDSE STONEWEG,9,15,13,19,21-100,06-08-2024
sudden,9080,LOCHRISTI,DORP-OOST,9,8,15,12,21-100,05-10-2024
planned,9000,GHENT,"ATHLETICS SQUARE, DUIFHUISSTRAAT, RELAY ROAD, GORDUNAKAY, MARATHON STREET, OLYMPIAD SQUARE, PATIJNTJESTRAAT, RACE TRACK STREET, SKI ROAD",7,30,14,30,101-500,05-09-2024
sudden,9000,GHENT,QUEEN ASTRIDLANE,7,30,12,0,21-100,05-09-2024
planned,9000,GHENT,"HERON STREET, VOSKENSLAAN",8,10,11,0,21-100,05-09-2024
planned,9000,GHENT,PROSPERITY STREET,0,0,1,25,<20,05-09-2024
sudden,9040,SINT-AMANDSBERG,NINE MAY PATH,9,43,10,31,<20,05-09-2024
planned,9050,LEDEBERG,"INNER ROAD, EDWARD BLAESSTRAAT, HARMONIESTRAAT, HUNDELGEMSESTEENWEG, JACQUES EGGERMONTSTRAAT, PIETER LACHAERTSTRAAT",0,49,1,59,101-500,05-09-2024
sudden,9051,SINT-DENIJS-WESTREM,JEAN-BAPTISTE DE GIEYLAAN,7,30,10,58,<20,05-09-2024
sudden,9000,GHENT,"ATHLETICS SQUARE, DUIFHUISSTRAAT, RELAY ROAD, GORDUNAKAY, MARATHON STREET, OLYMPIAD SQUARE, PATIJNTJESTRAAT, RACE TRACK STREET, SKI ROAD",8,30,12,0,101-500,05-09-2024
sudden,9000,GHENT,QUEEN ASTRIDLANE,8,10,11,30,21-100,05-09-2024
planned,9000,GHENT,MARTYRS' AVENUE,12,12,14,0,<20,05-09-2024
planned,9000,GHENT,PILORIJNSTRAAT,11,29,13,50,<20,05-09-2024
planned,9041,OOSTAKKER,"EKSAARDSERIJWEG, SINT-ARNOUTSTRAAT",13,30,13,35,21-100,05-09-2024
planned,9000,GHENT,"BLEKERIJSTRAAT, BLEKERSDIJK",22,10,1,30,21-100,05-08-2024
planned,9070,DESTELBERGEN,BIJLOKEWEG,1,30,2,48,<20,05-08-2024
sudden,9040,SINT-AMANDSBERG,DENDERMONDSE STONEWEG,12,5,12,37,21-100,05-08-2024
planned,9000,GHENT,"BEEHOF STREET, BLIJDE-INKOMSTSTRAAT, DENDERMONDSESTEENWEG, ENGELBERT VAN ARENBERGSTRAAT, NERINGSTRAAT, NIEUWHOF, WASSTRAAT, WESPSTRAAT, ZEEMSTRAAT",11,10,13,6,101-500,04-10-2024
planned,9000,GHENT,"PINTELAAN, FROG STREET",7,49,10,30,21-100,04-10-2024
planned,9000,GHENT,FRANÇOIS LAURENTPLEIN,8,45,12,30,21-100,04-10-2024
sudden,9000,GHENT,"SHORT MORE, MAGELEIN STREET, VOLDERSSTRAAT",7,0,10,30,21-100,04-10-2024
planned,9000,GHENT,"OUDESCHELDE STREET, PIETER VANDERDONCKT PASSAGE, FLANDERS STREET, SOUTH STATION STREET",9,0,14,30,101-500,04-10-2024
planned,9031,DRONGEN,GAVERLANDSTRAAT,8,0,8,50,<20,04-10-2024
sudden,9032,WONDELGEM,INSPECTION STREET,11,30,14,13,<20,04-10-2024
planned,9040,SINT-AMANDSBERG,ENGELBERT OF ARENBERGSTRAAT,11,10,13,6,<20,04-10-2024
planned,9050,GENTBRUGGE,BRAEMSTRAAT,9,30,13,30,<20,04-10-2024
sudden,9000,GHENT,AUGUSTIJN MOREELSSTRAAT,15,20,16,50,<20,03-10-2024
sudden,9041,OOSTAKKER,AUGUSTIJN MOREELSSTRAAT,15,20,16,50,21-100,03-10-2024
sudden,9000,GHENT,"BOEKSTEEG, PREDIKHERENLEI",12,59,15,15,<20,03-10-2024
sudden,9050,GENTBRUGGE,KERKSTRAAT,9,45,17,37,<20,03-10-2024
sudden,9080,ZEVENEKEN,HOEKSTRAAT,9,31,11,11,<20,03-10-2024
sudden,9000,GHENT,ANTWERPSESTEENWEG,9,40,9,43,<20,03-09-2024
sudden,9000,GHENT,NOTARISSTRAAT,8,0,16,0,<20,03-09-2024
planned,9040,SINT-AMANDSBERG,"ALFONS BRAECKMANLAAN, KASTEELWEGEL, SPEERDISTELSTRAAT, WESTVELDSTRAAT",8,22,8,25,101-500,03-09-2024
sudden,9040,SINT-AMANDSBERG,"ANTWERPSESTEENWEG, GOEDLEVENSTRAAT, MAALDERIJSTRAAT, OUDEBAREELSTRAAT, THEOFIEL LYBAERTSTRAAT",9,40,9,43,101-500,03-09-2024
sudden,9041,OOSTAKKER,GOEDLEVENSTRAAT,9,40,9,43,<20,03-09-2024
planned,9070,DESTELBERGEN,KWADENPLASSTRAAT,8,22,8,25,<20,03-09-2024
planned,9032,WONDELGEM,MOREKSTRAAT,15,9,16,59,21-100,03-08-2024
planned,9000,GHENT,"CONDUIT ALLEY, HOLY SACRAMENT STREET, UNIVERSITY STREET, VELDSTRAAT",7,45,12,15,21-100,02-10-2024
planned,9000,GHENT,OTTERGEMSESTEENWEG,9,45,12,30,21-100,02-10-2024
planned,9000,GHENT,SAINT-PIETERS AALST STREET,12,0,16,0,<20,02-10-2024
sudden,9000,GHENT,STACKING SQUARE,8,34,9,17,<20,02-10-2024
sudden,9031,DRONGEN,VARENDRIESKOUTER,12,26,13,4,<20,02-10-2024
planned,9040,SINT-AMANDSBERG,DENDERMONDSE STONEWEG,8,45,9,0,21-100,02-10-2024
planned,9041,OOSTAKKER,"GODELIEVE JOLIESTRAAT, SINT-LAURENTIUSLAAN, WULVERDAM",12,20,14,45,101-500,02-10-2024
planned,9052,ZWIJNAARDE,BEGONIASTRAAT,8,0,11,3,<20,02-10-2024
sudden,9000,GHENT,SINT-AMANDSTRAAT,8,0,15,49,<20,02-09-2024
sudden,9032,WONDELGEM,EVERGEMSESTEENWEG,8,30,12,0,21-100,02-09-2024
planned,9051,CUT OFF,"DUDDEGEMSTRAAT, SMALL DUDDEGEMSTRAAT",8,50,14,30,21-100,02-09-2024
sudden,9060,ZELZATE,SAINT-SEBASTIANS STREET,8,0,12,0,21-100,02-08-2024
planned,9090,MELLE,"PLANE TREE ROAD, POND ROAD",8,23,8,30,21-100,02-08-2024
sudden,9000,GHENT,ZONNESTRAAT,12,30,15,0,<20,01-10-2024
planned,9042,DESTELDONK,LINDESTRAAT,14,0,14,5,21-100,01-10-2024
planned,9000,GHENT,"KONINGIN ASTRIDLAAN, KONINGIN ELISABETHLAAN",17,5,18,14,21-100,01-09-2024
planned,9032,WONDELGEM,MOREKSTRAAT,10,27,16,43,21-100,01-09-2024
planned,9000,GHENT,"BACKMUIDE, BOMBAY STREET, CHOCOLATE ALLEY, DENISE DE WEERDTPAD, DOORNZELESTRAAT, DUINKERKEPLEIN, DUKKELDAMSTRAAT, FAZANTSTRAAT, GALVESTON STREET, GLASGOWSTRAAT, GOEDENDAGSTRAAT, GOOLESTRAAT, GREENOCKSTRAAT, HAANSTRAAT, HAMBURGSTRAAT, HELSINKISTRAAT, CABLE ALLEY, COFFEE ALLEY, KOGGESTRAAT, FARMER'S STREET, LEITHSTRAAT, LIVERPOOL STREET, LOGSTRAAT, LONDON STREET, LOODSENSTRAAT, MAKELAARSTRAAT, MANCHESTERSTRAAT, MARSEILLESTRAAT, MEULESTEDEKAI, MEULESTEEDSESTEENWEG, MUIDEPOORT, NEW-ORLEANSSTRAAT, NIEUWLAND, PORT ARTHUR AAN, REDERSPLEIN, ROERSTRAAT, ROTTERDAMSTRAAT, SINT-THERESIASTRAAT, SPADESTRAAT, STAPELPLEIN, SUIKERIJSTEEG, VOORHAVENLAAN, VORKSTRAAT, ZAAMSLAGSTRAAT, ZEILSTRAAT",13,12,14,0,501-1500,01-08-2024
planned,9070,DESTELBERGEN,"BIJLOKESTRAAT, BREDENAKKERSTRAAT, MARKIESAKKER, MARKIESSTRAAT",4,52,12,18,101-500,01-08-2024
sudden,9041,OOSTAKKER,PIJKESTRAAT,13,0,15,13,<20,01-07-2024
sudden,9080,ZAFFELARE,OLD VELD STREET,10,11,10,43,<20,01-07-2024
